name,issns,active,withdrawn_date,withdrawal_reason
Nordic Journal of Linguistics,0332-5865;1502-4717,true,,
European Journal of Cancer,0959-8049;1879-0852,true,,
Clinical Infectious Diseases,1058-4838;1537-6591,true,,
Psychoneuroendocrinology,0306-4530;1873-3360,true,,
Scandinavian Journal of Educational Research,0031-3831;1470-1170,true,,
Molecular Psychiatry,1359-4184;1476-5578,true,,
Biological Conservation,0006-3207;1873-2917,true,,
Journal of Nuclear Medicine,0161-5505;1535-5667,true,,
Diabetes Care,0149-5992;1935-5548,true,,
Review of Economic Studies,0034-6527;1467-937X,true,,
The Information Society,0197-2243;1087-6537,true,,
Annual Review of Sociology,0360-0572;1545-2115,true,,
Cell,0092-8674;1097-4172,true,,
Pattern Recognition,0031-3203;1873-5142,true,,
Development and Change,0012-155X;1467-7660,true,,
Adult Education Quarterly,0741-7136;1552-3047,true,,
Russian Linguistics : International Journal for the Study of the Russian Language,0304-3487;1572-8714,true,,
Classica et Mediaevalia,0106-5815;1604-9411,true,,
Environment and Behavior,0013-9165;1552-390X,true,,
Structure,0969-2126;1878-4186,true,,
Higher Education,0018-1560;1573-174X,true,,
American Journal of Sociology,0002-9602;1537-5390,true,,
Journal of Magnetic Resonance Imaging,1053-1807;1522-2586,true,,
Journal of Travel Research,0047-2875;1552-6763,true,,
European Journal of Personality,0890-2070;1099-0984,true,,
American Journal of Agricultural Economics,0002-9092;1467-8276,true,,
Linguistics and Philosophy,0165-0157;1573-0549,true,,
European Societies,1461-6696;1469-8307,true,,
European Journal of Social Work,1369-1457;1468-2664,true,,
Urban Studies,0042-0980;1360-063X,true,,
Memory,0965-8211;1464-0686,true,,
Statistical Methods in Medical Research,0962-2802;1477-0334,true,,
"Greek, Roman and Byzantine Studies",0017-3916;2159-3159,true,,
Journal of Development Economics,0304-3878;1872-6089,true,,
Journal of Interpersonal Violence,0886-2605;1552-6518,true,,
"Sport, Education and Society",1357-3322;1470-1243,true,,
Sociology of Health and Illness,0141-9889;1467-9566,true,,
Ecology Letters,1461-023X;1461-0248,true,,
International Journal of Pharmaceutics,0378-5173;1873-3476,true,,
Global Environmental Politics,1526-3800;1536-0091,true,,
Medicine & Science in Sports & Exercise,0195-9131;1530-0315,true,,
Textual Practice,0950-236X;1470-1308,true,,
Sociology,0038-0385;1469-8684,true,,
Sexualities,1363-4607;1461-7382,true,,
Political Analysis,1047-1987;1476-4989,true,,
American Journal of Political Science (AJPS),0092-5853;1540-5907,true,,
Youth Theatre Journal,0892-9092;1948-4798,true,,
Psychometrika,0033-3123;1860-0980,true,,
The Veterinary Journal,1090-0233;1532-2971,true,,
Current Anthropology,0011-3204;1537-5382,true,,
Philosophical Psychology,0951-5089;1465-394X,true,,
Functional Ecology,0269-8463;1365-2435,true,,
Archives of Disease in Childhood: Fetal and Neonatal Edition,1359-2998;1468-2052,true,,
EMBO Reports,1469-221X;1469-3178,true,,
The Plant Cell,1040-4651;1532-298X,true,,
Molecular Phylogenetics and Evolution,1055-7903;1095-9513,true,,
The Lancet Oncology,1470-2045;1474-5488,true,,
Scandinavian Journal of Information Systems (SJIS),0905-0167;1901-0990,true,,
Computer Aided Geometric Design,0167-8396;1879-2332,true,,
Health Services Research (HSR),0017-9124;1475-6773,true,,
European Sport Management Quarterly,1618-4742;1746-031X,true,,
British Journal of Sociology of Education,0142-5692;1465-3346,true,,
Nature,0028-0836;1476-4687,true,,
The American Economic Review,0002-8282;1944-7981,true,,
Sámi dieđalaš áigečála (SDÁ),0805-4312;1894-0498,true,,
Aquaculture,0044-8486;1873-5622,true,,
Environmental History,1084-5453;1930-8892,true,,
The International Journal of Life Cycle Assessment,0948-3349;1614-7502,true,,
International Journal of Information Management,0268-4012;1873-4707,true,,
Ecological Monographs,0012-9615;1557-7015,true,,
Fisheries Oceanography,1054-6006;1365-2419,true,,
Meta : Journal des traducteurs,0026-0452;1492-1421,true,,
Clinical Oral Implants Research,0905-7161;1600-0501,true,,
International Journal on Minority and Group Rights,1385-4879;1571-8115,true,,
Technovation,0166-4972;1879-2383,true,,
Nature Immunology,1529-2908;1529-2916,true,,
Public Management Review,1471-9037;1471-9045,true,,
Journal of Political Philosophy,0963-8016;1467-9760,true,,
Journal of European Public Policy,1350-1763;1466-4429,true,,
Journal of Biomechanics,0021-9290;1873-2380,true,,
Archives of Physical Medicine and Rehabilitation,0003-9993;1532-821X,true,,
Neurocomputing,0925-2312;1872-8286,true,,
"Philosophical Transactions of the Royal Society A: Mathematical, Physical and Engineering Sciences",1364-503X;1471-2962,true,,
The Journal of Ecclesiastical History,0022-0469;1469-7637,true,,
International Endodontic Journal,0143-2885;1365-2591,true,,
Philosophical Transactions of the Royal Society of London. Biological Sciences,0962-8436;1471-2970,true,,
Clinical Neurophysiology,1388-2457;1872-8952,true,,
International Journal of Gynecological Cancer,1048-891X;1525-1438,true,,
Journal of Peasant Studies,0306-6150;1743-9361,true,,
British Educational Research Journal (BERJ),0141-1926;1469-3518,true,,
Teaching and Teacher Education : An International Journal of Research and Studies,0742-051X;1879-2480,true,,
Occupational and Environmental Medicine,1351-0711;1470-7926,true,,
BMC Bioinformatics,1471-2105,true,,
European Journal of Sport Science (EJSS),1746-1391;1536-7290,true,,
History and Anthropology,0275-7206;1477-2612,true,,
Cognition,0010-0277;1873-7838,true,,
Journal of Systems and Software,0164-1212;1873-1228,true,,
Television & New Media,1527-4764;1552-8316,true,,
Gender & Society,0891-2432;1552-3977,true,,
Journal of Attention Disorders,1087-0547;1557-1246,true,,
European Journal of Operational Research,0377-2217;1872-6860,true,,
Journal of Politics,0022-3816;1468-2508,true,,
Ageing & Society,0144-686X;1469-1779,true,,
Journal of Labor Economics,0734-306X;1537-5307,true,,
Science in Context,0269-8897;1474-0664,true,,
International Journal of Research in Marketing,0167-8116;1873-8001,true,,
Political Studies,0032-3217;1467-9248,true,,
Journal of the European Economic Association,1542-4766;1542-4774,true,,
International Journal of Qualitative Methods (IJQM),1609-4069,true,,
Journal of Family History,0363-1990;1552-5473,true,,
PLoS Medicine,1549-1277;1549-1676,true,,
Biostatistics,1465-4644;1468-4357,true,,
Journal of Autoimmunity,0896-8411;1095-9157,true,,
Medical Education,0308-0110;1365-2923,true,,
Southern Quarterly (SoQ),0038-4496;2377-2050,true,,
Briefings in Bioinformatics,1467-5463;1477-4054,true,,
Human Resource Management Journal,0954-5395;1748-8583,true,,
Landscape Research,0142-6397;1469-9710,true,,
Academy of Management Learning & Education,1537-260X;1944-9585,true,,
Publications of the Modern Language Association of America,0030-8129;1938-1530,true,,
International Journal of Entrepreneurship and Small Business (IJESB),1476-1297;1741-8054,true,,
Journal of Business Research,0148-2963;1873-7978,true,,
Journal of Energy and Natural Resources Law,0264-6811;2376-4538,true,,
"Written Communication: an international quarterly of research, theory, and application",0741-0883;1552-8472,true,,
International Dairy Journal,0958-6946;1879-0143,true,,
British Journal of Clinical Pharmacology,0306-5251;1365-2125,true,,
Academy of Management Journal,0001-4273;1948-0989,true,,
Academy of Management Review,0363-7425;1930-3807,true,,
"Accounting, Organizations and Society",0361-3682;1873-6289,true,,
Accounting Review,0001-4826;1558-7967,true,,
ACM Computing Surveys,0360-0300;1557-7341,true,,
ACM Transactions on Computer Systems,0734-2071;1557-7333,true,,
ACM Transactions on Graphics,0730-0301;1557-7368,true,,
ACM Transactions on Information Systems,1046-8188;1558-2868,true,,
ACM Transactions on Internet Technology (TOIT),1533-5399;1557-6051,true,,
ACM Transactions on Mathematical Software,0098-3500;1557-7295,true,,
ACM Transactions on Programming Languages and Systems,0164-0925;1558-4593,true,,
ACM Transactions on Software Engineering and Methodology,1049-331X;1557-7392,true,,
Acta Materialia,1359-6454;1873-2453,true,,
Acta Mathematica,0001-5962;1871-2509,true,,
Acta Musicologica,0001-6241;2296-4339,true,,
Acta Neuropathologica,0001-6322;1432-0533,true,,
Acta Numerica,0962-4929;1474-0508,true,,
Administrative Science Quarterly,0001-8392;1930-3815,true,,
Advanced Functional Materials,1616-301X;1616-3028,true,,
Advanced Materials,0935-9648;1521-4095,true,,
Advances in Experimental Social Psychology,0065-2601;1557-8410,true,,
Advances in Mathematics,0001-8708;1090-2082,true,,
Advances in Nursing Science,0161-9268;1550-5014,true,,
Advances in Physics,0001-8732;1460-6976,true,,
Age and Ageing,0002-0729;1468-2834,true,,
Ageing Research Reviews,1568-1637;1872-9649,true,,
Agricultural History Review,0002-1490,true,,
AIAA Journal,0001-1452;1533-385X,true,,
AIChE Journal,0001-1541;1547-5905,true,,
Algorithmica,0178-4617;1432-0541,true,,
American Anthropologist,0002-7294;1548-1433,true,,
American Antiquity,0002-7316;2325-5064,true,,
American Association of Petroleum Geologists Bulletin,0149-1423;1558-9153,true,,
American Historical Review,0002-8762;1937-5239,true,,
American Journal of Archaeology,0002-9114;1939-828X,true,,
American Journal of Bioethics,1526-5161;1536-0075,true,,
American Journal of Mathematics,0002-9327;1080-6377,true,,
American Journal of Ophthalmology,0002-9394;1879-1891,true,,
American Journal of Philology,0002-9475;1086-3168,true,,
American Journal of Physiology. Heart and Circulatory Physiology,0363-6135;1522-1539,true,,
American Journal of Physiology. Regulatory Integrative and Comparative Physiology,0363-6119;1522-1490,true,,
American Journal of Roentgenology,0361-803X;1546-3141,true,,
American Journal of Surgical Pathology,0147-5185;1532-0979,true,,
American Literary History,0896-7148;1468-4365,true,,
American Literature,0002-9831;1527-2117,true,,
American Music,0734-4392;1945-2349,true,,
American Philosophical Quarterly,0003-0481;2152-1123,true,,
American Psychologist,0003-066X;1935-990X,true,,
American Quarterly,0003-0678;1080-6490,true,,
American Review of Public Administration,0275-0740;1552-3357,true,,
Anales de Literatura Hispanoamericana,0210-4547;1988-2351,true,,
Analysis,0003-2638;1467-8284,true,,
Angewandte Chemie International Edition,1433-7851;1521-3773,true,,
"Annales: Histoire, Sciences Sociales",0395-2649;1953-8146,true,,
Annales de l'Institut Fourier,0373-0956;1777-5310,true,,
Annales de l'Institut Henri Poincare. Analyse non linéar,0294-1449;1873-1430,true,,
Annales Scientifiques de l'Ecole Normale Supérieure,0012-9593;1873-2151,true,,
Annals of Mathematics,0003-486X;1939-8980,true,,
Annals of Probability,0091-1798;2168-894X,true,,
Annals of Pure and Applied Logic,0168-0072;1873-2461,true,,
Annals of Statistics,0090-5364;2168-8966,true,,
Annual of the British School at Athens,0068-2454;2045-2403,true,,
Annual Review of Astronomy and Astrophysics,0066-4146;1545-4282,true,,
Annual Review of Earth and Planetary Science,0084-6597;1545-4495,true,,
Annual Review of Fluid Mechanics,0066-4189;1545-4479,true,,
Annual Review of Information Science and Technology (ARIST),0066-4200;1550-8382,true,,
Annual Review of Nuclear and Particle Science,0163-8998;1545-4134,true,,
"Annual review of political science (Palo Alto, Calif. Print)",1094-2939;1545-1577,true,,
Anthropological Theory,1463-4996;1741-2641,true,,
Antike Kunst,0003-5688,true,,
Antipode,0066-4812;1467-8330,true,,
"Applicable Algebra in Engineering, Communication and Computing",0938-1279;1432-0622,true,,
Applied Intelligence - The International Journal of Research on Intelligent Systems for Real Life Complex Problems,0924-669X;1573-7497,true,,
Applied Linguistics,0142-6001;1477-450X,true,,
Applied Mathematics and Optimization,0095-4616;1432-0606,true,,
Applied Physics Letters,0003-6951;1077-3118,true,,
Applied Soft Computing,1568-4946;1872-9681,true,,
Arabian Archaeology and Epigraphy,0905-7196;1600-0471,true,,
Archaeological Dialogues,1380-2038;1478-2294,true,,
Archiv für Geschichte der Philosophie,0003-9101;1613-0650,true,,
Archiv für Musikwissenschaft,0003-9292;2366-2794,true,,
Archiv für Papyrusforschung und verwandte Gebiete,0066-6459;1867-1551,true,,
Archiv für Reformationsgeschichte - Archive for Reformation History,0003-9381;2198-0489,true,,
Archive for History of Exact Sciences,0003-9519;1432-0657,true,,
Archive for Rational Mechanics and Analysis,0003-9527;1432-0673,true,,
Arethusa,0004-0975;1080-6504,true,,
Ariel: A Review of International English Literature,0004-1327,true,,
Arion: A Journal of Humanities and the Classics,0095-5809;2327-6436,true,,
Archiv für Rechts- und Sozialphilosophie,0001-2343;2363-5614,true,,
Art History,0141-6790;1467-8365,true,,
Art Journal,0004-3249;2325-5307,true,,
Arthritis Research & Therapy,1478-6354;1478-6362,true,,
Arthroscopy: The Journal of Arthroscopy And Related,0749-8063;1526-3231,true,,
Artificial Intelligence,0004-3702;1872-7921,true,,
Artificial Life,1064-5462;1530-9185,true,,
Assessment & Evaluation in Higher Education,0260-2938;1469-297X,true,,
"Assessment in Education: Principles, Policy & Practice",0969-594X;1465-329X,true,,
Astronomy and Astrophysics (A & A),0004-6361;1432-0746,true,,
The Astrophysical Journal (ApJ),0004-637X;1538-4357,true,,
Astrophysical Journal Supplement Series,0067-0049;1538-4365,true,,
Atlantic studies,1478-8810;1740-4649,true,,
Atmospheric Chemistry and Physics (ACP),1680-7316;1680-7324,true,,
Auditing: A journal of Practice and Theory,0278-0380;1558-7991,true,,
Australasian Journal of Philosophy,0004-8402;1471-6828,true,,
Autism,1362-3613;1461-7005,true,,
Automatica,0005-1098;1873-2836,true,,
Automation in Construction,0926-5805;1872-7891,true,,
Basin Research,0950-091X;1365-2117,true,,
Beihefte zur Zeitschrift für die neutestamentliche Wissenschaft und die Kunde der älteren Kirche,0171-6441,true,,
Bernoulli,1350-7265;1573-9759,true,,
Bilingualism: Language and Cognition,1366-7289;1469-1841,true,,
Biography,0162-4962;1529-1456,true,,
Biology & Philosophy,0169-3867;1572-8404,true,,
Biometrika,0006-3444;1464-3510,true,,
Biotechnology Advances,0734-9750;1873-1899,true,,
Bipolar Disorders,1398-5647;1399-5618,true,,
BIT Numerical Mathematics,0006-3835;1572-9125,true,,
BJU International,1464-4096;1464-410X,true,,
BMC Biology,1741-7007,true,,
BMC Medicine,1741-7015,true,,
BMC Oral Health,1472-6831,true,,
BMC Plant Biology,1471-2229,true,,
Boundary 2,0190-3659;1527-2141,true,,
"Brain, Behavior, and Immunity",0889-1591;1090-2139,true,,
Breast Cancer Research,1465-5411;1465-542X,true,,
British Journal for the History of Philosophy (BJHP),0960-8788;1469-3526,true,,
British Journal for the History of Science,0007-0874;1474-001X,true,,
British Journal for the Philosophy of Science,0007-0882;1464-3537,true,,
British Journal of Educational Studies,0007-1005;1467-8527,true,,
British Journal of Industrial Relations,0007-1080;1467-8543,true,,
British Journal of Management,1045-3172;1467-8551,true,,
British Journal of Middle Eastern Studies,1353-0194;1469-3542,true,,
The British Journal of Social Work,0045-3102;1468-263X,true,,
British Journal of Sociology,0007-1315;1468-4446,true,,
Building and Environment,0360-1323;1873-684X,true,,
Building Research & Information,0961-3218;1466-4321,true,,
Bulletin de Correspondance Hellénique,0007-4217;2241-0104,true,,
Bulletin of the American Mathematical Society,0273-0979;1088-9485,true,,
Bulletin of Hispanic studies (Liverpool. 2002),1475-3839;1478-3398,true,,
Bulletin of Symbolic Logic,1079-8986;1943-5894,true,,
Bulletin of The American Meteorological Society - (BAMS),0003-0007;1520-0477,true,,
Bulletin of The American Society of Papyrologists,0003-1186;1938-6958,true,,
Bulletin of The Council For Research in Music Education,0010-9894;2162-7223,true,,
Bulletin of the London Mathematical Society,0024-6093;1469-2120,true,,
Business Ethics Quarterly,1052-150X;2153-3326,true,,
Business History Review,0007-6805;2044-768X,true,,
Byzantion,0378-2506;2294-6209,true,,
CA: A Cancer Journal for Clinicians,0007-9235;1542-4863,true,,
California Law Review,0008-1221;1942-6542,true,,
Callaloo,0161-2492;1080-6512,true,,
Cambridge Archaeological Journal,0959-7743;1474-0540,true,,
The Cambridge Law Journal,0008-1973;1469-2139,true,,
Cambridge Opera Journal,0954-5867;1474-0621,true,,
Canadian Journal of Philosophy,0045-5091;1911-0820,true,,
Cancer Cell,1535-6108;1878-3686,true,,
Carbon,0008-6223;1873-3891,true,,
Caries Research,0008-6568;1421-976X,true,,
Catalysis Today,0920-5861;1873-4308,true,,
Cell Research,1001-0602;1748-7838,true,,
Cement and Concrete Research,0008-8846;1873-3948,true,,
Central European History,0008-9389;1569-1616,true,,
Cerebral Cortex,1047-3211;1460-2199,true,,
Chemical Communications,1359-7345;1364-548X,true,,
Chemical Engineering Journal,1385-8947;1873-3212,true,,
Chemical Engineering Science (CES),0009-2509;1873-4405,true,,
Chemical Society Reviews,0306-0012;1460-4744,true,,
Chemistry - A European Journal,0947-6539;1521-3765,true,,
Chemistry of Materials,0897-4756;1520-5002,true,,
ChemPhysChem,1439-4235;1439-7641,true,,
Child & Family Social Work,1356-7500;1365-2206,true,,
Child Development,0009-3920;1467-8624,true,,
Children and Youth Services Review,0190-7409;1873-7765,true,,
Children's Literature in Education,0045-6713;1573-1693,true,,
The China Journal,1324-9347;1835-8535,true,,
The China Quarterly,0305-7410;1468-2648,true,,
Church History: Studies in Christianity and Culture,0009-6407;1755-2613,true,,
CIRP annals,0007-8506;1726-0604,true,,
Cladistics,0748-3007;1096-0031,true,,
Classical Antiquity,0278-6656;1067-8344,true,,
Classical Quarterly,0009-8388;1471-6844,true,,
Clinical Linguistics & Phonetics,0269-9206;1464-5076,true,,
Clinical Microbiology and Infection (CMI),1198-743X;1469-0691,true,,
Clinical Oral Investigations,1432-6981;1436-3771,true,,
Clinical Pharmacokinetics,0312-5963;1179-1926,true,,
"Clio: A Journal of Literature, History, and the Philosophy of History",0884-2043,true,,
Coastal Engineering,0378-3839;1872-7379,true,,
"Cognitive, Affective, & Behavioral Neuroscience",1530-7026;1531-135X,true,,
Cognitive Linguistics,0936-5907;1613-3641,true,,
Cognitive Psychology,0010-0285;1095-5623,true,,
Cognitive Science,0364-0213;1551-6709,true,,
Cold War History,1468-2745;1743-7962,true,,
College & Research Libraries,0010-0870;2150-6701,true,,
Combinatorica,0209-9683;1439-6912,true,,
Combustion and Flame,0010-2180;1556-2921,true,,
Commentarii Mathematici Helvetici,0010-2571;1420-8946,true,,
Common market law review,0165-0750;1875-8320,true,,
Communication Research,0093-6502;1552-3810,true,,
Communication Theory,1050-3293;1468-2885,true,,
Communications in Contemporary Mathematics,0219-1997,true,,
Communications in Mathematical Physics,0010-3616;1432-0916,true,,
Communications in Partial Differential Equations,0360-5302;1532-4133,true,,
Communications of the ACM,0001-0782;1557-7317,true,,
Communications on Pure and Applied Mathematics,0010-3640;1097-0312,true,,
Comparative Education Review,0010-4086;1545-701X,true,,
Comparative Literature Studies,0010-4132;1528-4212,true,,
Comparative politics,0010-4159;2151-6227,true,,
Composites Part B: Engineering,1359-8368;1879-1069,true,,
Composites Science And Technology,0266-3538;1879-1050,true,,
Compositio Mathematica,0010-437X;1570-5846,true,,
Computational Complexity,1016-3328;1420-8954,true,,
Computational Linguistics,0891-2017;1530-9312,true,,
Computational Materials Science,0927-0256;1879-0801,true,,
Computer,0018-9162;1558-0814,true,,
Computer Graphics Forum,0167-7055;1467-8659,true,,
Computer Methods in Applied Mechanics and Engineering,0045-7825;1879-2138,true,,
Computer Music Journal,0148-9267;1531-5169,true,,
Computer Networks,1389-1286;1872-7069,true,,
Computer Speech and Language,0885-2308;1095-8363,true,,
Computer Supported Cooperative Work  (CSCW),0925-9724;1573-7551,true,,
Computer Vision and Image Understanding,1077-3142;1090-235X,true,,
Computer-Aided Design,0010-4485;1879-2685,true,,
Computers & graphics,0097-8493;1873-7684,true,,
Computers & Operations Research,0305-0548;1873-765X,true,,
Computers & structures,0045-7949;1879-2243,true,,
Computers and Chemical Engineering,0098-1354;1873-4375,true,,
Computers & Education,0360-1315;1873-782X,true,,
Computers and Electronics in Agriculture,0168-1699;1872-7107,true,,
Computers in industry (Print),0166-3615;1872-6194,true,,
Conservation and Management of Archaeological Sites,1350-5033;1753-5522,true,,
Conservation Biology,0888-8892;1523-1739,true,,
Construction and Building Materials,0950-0618;1879-0526,true,,
Constructive approximation,0176-4276;1432-0940,true,,
Contemporary Accounting Research,0823-9150;1911-3846,true,,
Contemporary Buddhism,1463-9947;1476-7953,true,,
Contemporary Educational Psychology,0361-476X;1090-2384,true,,
Contemporary European History,0960-7773;1469-2171,true,,
Contemporary Issues in Early Childhood,1463-9491,true,,
Contemporary Literature,0010-7484;1548-9949,true,,
Continental Philosophy Review,1387-2842;1573-0611,true,,
Contributions to Mineralogy and Petrology,0010-7999;1432-0967,true,,
Corporate governance. An International Review,0964-8410;1467-8683,true,,
Corrosion Science,0010-938X;1879-0496,true,,
Crime and delinquency,0011-1287;1552-387X,true,,
Crime and justice,0192-3234;2153-0416,true,,
Criminology (Beverly Hills),0011-1384;1745-9125,true,,
Critical Care,1364-8535;1466-609X,true,,
Critical Inquiry,0093-1896;1539-7858,true,,
Critical Quarterly,0011-1562;1467-8705,true,,
Criticism: A Quarterly for Literature and the Arts,0011-1589;1536-0342,true,,
Crystal Growth & Design,1528-7483;1528-7505,true,,
Cultural anthropology,0886-7356;1548-1360,true,,
Curator: The Museum Journal,0011-3069;2151-6952,true,,
Daedalus,0011-5266;1548-6192,true,,
Dance chronicle,0147-2526;1532-4257,true,,
Data & Knowledge Engineering,0169-023X;1872-6933,true,,
Data mining and knowledge discovery,1384-5810;1573-756X,true,,
Decision Sciences,0011-7315;1540-5915,true,,
Decision Support Systems,0167-9236;1873-5797,true,,
Depression and Anxiety,1091-4269;1520-6394,true,,
Der Islam,0021-1818;1613-0928,true,,
Design Issues,0747-9360;1531-4790,true,,
Design Studies,0142-694X;1872-6909,true,,
Deutsche Sprache,0340-9341,true,,
Deutsche Vierteljahrsschrift für Literaturwissenschaft und Geistesgeschichte (DVJS),0012-0936;2365-9521,true,,
Development and Psychopathology,0954-5794;1469-2198,true,,
Developmental Cell,1534-5807;1878-1551,true,,
Developmental Psychology,0012-1649;1939-0599,true,,
Developmental Science,1363-755X;1467-7687,true,,
Diachronica,0176-4225;1569-9714,true,,
Differences. A Journal of Feminist Cultural Studies,1040-7391;1527-1986,true,,
Discourse & Society,0957-9265;1460-3624,true,,
Discourse Studies,1461-4456;1461-7080,true,,
Discrete and Continuous Dynamical Systems (DCDS),1078-0947;1553-5231,true,,
Documenta Mathematica,1431-0635;1431-0643,true,,
Drug Metabolism And Disposition,0090-9556;1521-009X,true,,
Duke mathematical journal,0012-7094;1547-7398,true,,
Dyslexia,1076-9242;1099-0909,true,,
Ear and Hearing,0196-0202;1538-4667,true,,
Early Childhood Research Quarterly,0885-2006;1873-7706,true,,
Early Medieval Europe,0963-9462;1468-0254,true,,
Early Music,0306-1078;1741-7260,true,,
Early Music History,0261-1279;1474-0559,true,,
Earth-Science Reviews,0012-8252;1872-6828,true,,
Econometric Theory,0266-4666;1469-4360,true,,
Econometrics Journal,1368-4221;1368-423X,true,,
The Economic History Review,0013-0117;1468-0289,true,,
Ecosystems,1432-9840;1435-0629,true,,
Ecotoxicology and Environmental Safety,0147-6513;1090-2414,true,,
Education + Training,0040-0912;1758-6127,true,,
Educational Action Research,0965-0792;1747-5074,true,,
Educational Administration Quarterly,0013-161X;1552-3519,true,,
Educational Evaluation and Policy Analysis,0162-3737;1935-1062,true,,
Educational Psychologist,0046-1520;1532-6985,true,,
Educational Psychology,0144-3410;1469-5820,true,,
Educational Research,0013-1881;1469-5847,true,,
Educational Studies in Mathematics,0013-1954;1573-0816,true,,
Educational Theory,0013-2004;1741-5446,true,,
Eighteenth-Century Studies,0013-2586;1086-315X,true,,
ELH: English literary history,0013-8304;1080-6547,true,,
Emerging Infectious Diseases,1080-6040;1080-6059,true,,
Emotion,1528-3542;1931-1516,true,,
Energy,0360-5442;1873-6785,true,,
Energy and Buildings,0378-7788;1872-6178,true,,
Engineering structures,0141-0296;1873-7323,true,,
English Historical Review,0013-8266;1477-4534,true,,
English Language and Linguistics,1360-6743;1469-4379,true,,
English World-Wide,0172-8865;1569-9730,true,,
Enterprise & Society,1467-2227;1467-2235,true,,
Environment and Planning A: Economy and Space,0308-518X;1472-3409,true,,
Environmental Education Research,1350-4622;1469-5871,true,,
Environmental Microbiology,1462-2912;1462-2920,true,,
Environmental Research,0013-9351;1096-0953,true,,
Equine Veterinary Journal,0425-1644;2042-3306,true,,
Ergodic Theory and Dynamical Systems,0143-3857;1469-4417,true,,
Erkenntnis: An International Journal of Scientific Philosophy,0165-0106;1572-8420,true,,
Essays in Criticism,0014-0856;1471-6852,true,,
"Ethics: An International Journal of Social, Political, and Legal Philosophy",0014-1704;1539-297X,true,,
Ethnomusicology,0014-1836;2156-7417,true,,
Ethnomusicology Forum,1741-1912;1741-1920,true,,
Études françaises,0014-2085;1492-1405,true,,
Euphorion,0014-2328,true,,
Europace,1099-5129;1532-2092,true,,
European Business Law Review,0959-6941;1875-841X,true,,
European Educational Research Journal,1474-9041,true,,
European Journal of Agronomy,1161-0301;1873-7331,true,,
European Journal of Archaeology,1461-9571;1741-2722,true,,
European Journal of Epidemiology (EJE),0393-2990;1573-7284,true,,
European Journal of Information Systems,0960-085X;1476-9344,true,,
European journal of international law,0938-5428;1464-3596,true,,
European Journal of Nuclear Medicine and Molecular Imaging,1619-7070;1619-7089,true,,
European journal of pharmaceutics and biopharmaceutics,0939-6411;1873-3441,true,,
European Journal of Philosophy,0966-8373;1468-0378,true,,
European Journal of Social Theory,1368-4310;1461-7137,true,,
European Physical Journal C,1434-6044;1434-6052,true,,
European psychiatry,0924-9338;1778-3585,true,,
European Public Law,1354-3725;1875-8207,true,,
European Radiology,0938-7994;1432-1084,true,,
European Review of History,1350-7486;1469-8293,true,,
European Review of Private Law,0928-9801;1875-8371,true,,
European Union Politics,1465-1165;1741-2757,true,,
European Urology,0302-2838;1873-7560,true,,
Evolution,0014-3820;1558-5646,true,,
Evolution and human behavior,1090-5138;1879-0607,true,,
Evolutionary Computation,1063-6560;1530-9304,true,,
Exceptional children,0014-4029;2163-5560,true,,
Experimental Economics,1386-4157;1573-6938,true,,
Experimental mechanics,0014-4851;1741-2765,true,,
Expert Systems With Applications,0957-4174;1873-6793,true,,
Explorations in economic history (EEH),0014-4983;1090-2457,true,,
Fabula,0014-6242;1613-0464,true,,
Fatigue & Fracture of Engineering Materials & Structures (FFEMS),8756-758X;1460-2695,true,,
Feminist Media Studies,1468-0777;1471-5902,true,,
Feminist Theory,1464-7001;1741-2773,true,,
Fertility and Sterility,0015-0282;1556-5653,true,,
FF communications,0014-5815,true,,
Filologia Mediolatina: Rivista della Fondazione Ezio Franceschini,1124-0008,true,,
Finance and Stochastics,0949-2984;1432-1122,true,,
Financial Management,0046-3892;1755-053X,true,,
Fire safety journal,0379-7112;1873-7226,true,,
Fish and Fisheries,1467-2960;1467-2979,true,,
Folklore,0015-587X;1469-8315,true,,
Foot & ankle international,1071-1007;1944-7876,true,,
For the Learning of Mathematics,0228-0671,true,,
Formal methods in system design,0925-9856;1572-8102,true,,
Forum for Modern Language Studies,0015-8518;1471-6860,true,,
Foundations of Computational Mathematics,1615-3375;1615-3383,true,,
Frontiers in Neuroendocrinology (FIN),0091-3022;1095-6808,true,,
Fuel,0016-2361;1873-7153,true,,
Future Generation Computer Systems,0167-739X;1872-7115,true,,
Gastric Cancer,1436-3291;1436-3305,true,,
Gender and Education,0954-0253;1360-0516,true,,
"Gender, Work & Organization",0968-6673;1468-0432,true,,
Genes & Development,0890-9369;1549-5477,true,,
Genetic Programming and Evolvable Machines,1389-2576;1573-7632,true,,
Genetics,0016-6731;1943-2631,true,,
Genetics Selection Evolution,0999-193X;1297-9686,true,,
Genome Biology,1474-7596;1474-760X,true,,
Genome Research,1088-9051;1549-5469,true,,
Geobiology,1472-4677;1472-4669,true,,
Geochimica et Cosmochimica Acta,0016-7037;1872-9533,true,,
Geoinformatica,1384-6175;1573-7624,true,,
Geological Society of America Bulletin,0016-7606;1943-2674,true,,
Geometric and Functional Analysis,1016-443X;1420-8970,true,,
Geometry and Topology,1465-3060;1364-0380,true,,
Geomorphology,0169-555X;1872-695X,true,,
Geophysical Journal International,0956-540X;1365-246X,true,,
